Date : 2024-10-03 20:22:20
Directory : /Users/knysh/FICT/7term/economics/lab2/task1-2
Total : 304 files,  19919 codes, 320 comments, 3417 blanks, all 23656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/index.ts                                             | TypeScript         |          8 |          0 |          5 |         13 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/keymap.ts                                            | TypeScript         |         48 |          0 |          8 |         56 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/queue/transaction-queue.ts                           | TypeScript         |         56 |          3 |         12 |         71 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/schema.ts                                            | TypeScript         |        164 |         19 |         19 |        202 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/serializer/markdown-serializer.ts                    | TypeScript         |         50 |          2 |         14 |         66 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/use-prose-mirror.ts                                  | TypeScript         |         87 |          2 |         26 |        115 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/index.ts                                                  | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/model/editor-model.ts                                     | TypeScript         |         28 |          0 |          8 |         36 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/api/search-api.ts                                         | TypeScript         |         20 |          0 |          7 |         27 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/index.ts                                                  | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/model/search-model.ts                                     | TypeScript         |         37 |          0 |         10 |         47 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/session/api/session-api.ts                                       | TypeScript         |        109 |          3 |         29 |        141 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/session/index.ts                                                 | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/session/model/session-model.ts                                   | TypeScript         |         37 |          0 |         11 |         48 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/api/login.ts                                                | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/api/logout.ts                                               | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/api/password-recovery.ts                                    | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/api/signup.ts                                               | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/forgot-password/forgot-password-form.tsx                    | TypeScript JSX     |        105 |          0 |         11 |        116 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/forgot-password/index.ts                                    | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/index.ts                                                    | TypeScript         |         12 |          0 |          4 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/login/index.ts                                              | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/login/login-form.tsx                                        | TypeScript JSX     |        104 |          1 |         13 |        118 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/middlewares/auth-middleware.ts                              | TypeScript         |         19 |          1 |          6 |         26 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/middlewares/unauth-middleware.ts                            | TypeScript         |         12 |          1 |          4 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/reset-password/index.ts                                     | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/reset-password/reset-password-form.tsx                      | TypeScript JSX     |         96 |          0 |         12 |        108 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/signup/index.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/signup/signup-form.tsx                                      | TypeScript JSX     |        115 |          1 |         13 |        129 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/ui/form/change-password-form.tsx                            | TypeScript JSX     |         93 |          0 |         10 |        103 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/utils/is-auth.ts                                            | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/auth/verify-email/index.tsx                                      | TypeScript JSX     |         31 |          0 |          6 |         37 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/api/document.ts                                           | TypeScript         |         11 |          0 |          4 |         15 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/api/index.ts                                              | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/index.ts                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/ui/editor-boundary.tsx                                    | TypeScript JSX     |         70 |          1 |         20 |         91 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/ui/editor-container.tsx                                   | TypeScript JSX     |         12 |          0 |          6 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/ui/editor.tsx                                             | TypeScript JSX     |         31 |          0 |          9 |         40 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/editor/ui/prose-editor.tsx                                       | TypeScript JSX     |          9 |          0 |          5 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/export.tsx                                                | TypeScript JSX     |        125 |          0 |         19 |        144 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/index.ts                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/lib/composer/base-composer.ts                             | TypeScript         |         24 |          0 |          8 |         32 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/lib/composer/composer.ts                                  | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/lib/composer/markdown-composer.ts                         | TypeScript         |         15 |          0 |          6 |         21 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/lib/composer/plain-text-composer.ts                       | TypeScript         |         14 |          0 |          6 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/export/lib/index.ts                                              | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/header/go-back.tsx                                               | TypeScript JSX     |         20 |          0 |          8 |         28 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/header/toggle-sidebar.tsx                                        | TypeScript JSX     |         21 |          0 |          8 |         29 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/search-menu/api/index.ts                                         | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/search-menu/search-menu.tsx                                      | TypeScript JSX     |        193 |          0 |         37 |        230 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/search-menu/ui/search-bar.tsx                                    | TypeScript JSX     |         25 |          0 |          3 |         28 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/search-menu/ui/search-filters.tsx                                | TypeScript JSX     |         92 |          2 |         12 |        106 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/search-menu/ui/search-results.tsx                                | TypeScript JSX     |         99 |          0 |         14 |        113 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/api/index.ts                                            | TypeScript         |         27 |          0 |          5 |         32 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/avatar.tsx                                              | TypeScript JSX     |         96 |          0 |         18 |        114 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/delete.tsx                                              | TypeScript JSX     |         37 |          0 |          4 |         41 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/email.tsx                                               | TypeScript JSX     |         47 |          0 |          5 |         52 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/name.tsx                                                | TypeScript JSX     |         95 |          4 |         12 |        111 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/password.tsx                                            | TypeScript JSX     |         35 |          2 |          4 |         41 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/ui/change-email-form.tsx                                | TypeScript JSX     |         78 |          0 |         16 |         94 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/ui/delete-user-form.tsx                                 | TypeScript JSX     |         80 |          0 |         13 |         93 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/ui/setting-dialog.tsx                                   | TypeScript JSX     |         14 |          0 |          3 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/ui/setting-title.tsx                                    | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/settings/ui/setting.tsx                                          | TypeScript JSX     |         14 |          0 |          2 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/documents.tsx                                            | TypeScript JSX     |        123 |          5 |         30 |        158 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/lib/index.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/lib/parser/base-parser.ts                                | TypeScript         |         11 |          0 |          6 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/lib/parser/file-parser.ts                                | TypeScript         |         12 |          3 |          3 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/lib/parser/markdown-parser.ts                            | TypeScript         |         59 |          0 |         14 |         73 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/lib/parser/plain-text-parser.ts                          | TypeScript         |         26 |          0 |          9 |         35 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/navigation.tsx                                           | TypeScript JSX     |         43 |          6 |         11 |         60 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/store/index.ts                                           | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/ui/create-document.tsx                                   | TypeScript JSX     |         49 |          0 |         11 |         60 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/ui/import-document.tsx                                   | TypeScript JSX     |        156 |          7 |         29 |        192 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/ui/navigation-item-menu.tsx                              | TypeScript JSX     |         98 |          0 |         19 |        117 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/sidebar/ui/navigation-item.tsx                                   | TypeScript JSX     |        159 |          0 |         26 |        185 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/index.ts                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/toolbar.tsx                                              | TypeScript JSX     |         31 |          0 |          7 |         38 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/alignment-formats.tsx                                 | TypeScript JSX     |         64 |          1 |         15 |         80 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/block-type-select.tsx                                 | TypeScript JSX     |        163 |          2 |         30 |        195 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/font-size-select.tsx                                  | TypeScript JSX     |         88 |          2 |         16 |        106 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/index.ts                                              | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/line-spacing-select.tsx                               | TypeScript JSX     |         98 |          2 |         16 |        116 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/mark-formats.tsx                                      | TypeScript JSX     |        102 |          1 |         16 |        119 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/toolbar/ui/mark-select.tsx                                       | TypeScript JSX     |        136 |          2 |         30 |        168 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/user/avatar.tsx                                                  | TypeScript JSX     |         41 |          0 |          5 |         46 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/user/profile-card.tsx                                            | TypeScript JSX     |        135 |          8 |         25 |        168 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/features/user/user-dropdown.tsx                                           | TypeScript JSX     |         58 |          1 |         15 |         74 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/middleware.ts                                                             | TypeScript         |         19 |          0 |          7 |         26 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/next.config.js                                                            | JavaScript         |         17 |          3 |          2 |         22 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/package.json                                                              | JSON               |         56 |          0 |          1 |         57 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/postcss.config.js                                                         | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/providers/index.tsx                                                       | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/providers/query-provider.tsx                                              | TypeScript JSX     |          9 |          0 |          5 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/providers/theme-provider.tsx                                              | TypeScript JSX     |          7 |          0 |          4 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/public/avatar.svg                                                         | XML                |         11 |          1 |          0 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/public/site.webmanifest                                                   | JSON               |         19 |          0 |          1 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/api/api-client.ts                                                  | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/api/query-client.ts                                                | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/index.ts                                                           | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/encode-uri-component.ts                                        | TypeScript         |         38 |         17 |          8 |         63 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/extract-uri-hash.ts                                            | TypeScript         |          3 |         17 |          4 |         24 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/format-result-string.ts                                        | TypeScript         |          6 |         14 |          2 |         22 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/generate-document-url.ts                                       | TypeScript         |          7 |         24 |          3 |         34 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/to-base64.ts                                                   | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/lib/use-is-mounted.ts                                              | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/middleware/middleware.ts                                           | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/middleware/with-middleware.ts                                      | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/types/file-format.ts                                               | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/types/mime-type.ts                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/types/object-values.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/types/routes.ts                                                    | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/ui/link-or.tsx                                                     | TypeScript JSX     |         26 |          0 |          5 |         31 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/ui/theme-switch.tsx                                                | TypeScript JSX     |         15 |          0 |          6 |         21 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/shared/util/is-mac.ts                                                     | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/tailwind.config.js                                                        | JavaScript         |          4 |          1 |          2 |          7 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/tsconfig.json                                                             | JSON with Comments |         19 |          0 |          1 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/widgets/layouts/header.tsx                                                | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/widgets/layouts/landing/header.tsx                                        | TypeScript JSX     |         28 |          0 |          5 |         33 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/widgets/layouts/landing/nav.tsx                                           | TypeScript JSX     |         48 |          0 |         10 |         58 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/widgets/layouts/sidebar.tsx                                               | TypeScript JSX     |        153 |         15 |         37 |        205 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/docker-compose.yml                                                                 | YAML               |         26 |          0 |          4 |         30 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/package.json                                                                       | JSON               |         39 |          0 |          1 |         40 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/config/package.json                                                       | JSON               |         13 |          0 |          1 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/config/prettier.config.js                                                 | JavaScript         |         23 |          9 |          1 |         33 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/config/tailwind.config.js                                                 | JavaScript         |         13 |          1 |          1 |         15 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/eslint-config/base.js                                                     | JavaScript         |         42 |          1 |          1 |         44 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/eslint-config/nest.js                                                     | JavaScript         |         16 |          1 |          1 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/eslint-config/next.js                                                     | JavaScript         |         23 |          1 |          1 |         25 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/eslint-config/package.json                                                | JSON               |         24 |          0 |          1 |         25 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/constants.ts                                                          | TypeScript         |          4 |          0 |          3 |          7 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/dto/auth.ts                                                           | TypeScript         |         15 |          0 |          8 |         23 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/dto/document.ts                                                       | TypeScript         |         11 |          0 |          6 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/dto/index.ts                                                          | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/dto/search.ts                                                         | TypeScript         |          3 |          0 |          3 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/dto/user.ts                                                           | TypeScript         |          4 |          0 |          4 |          8 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/error/hints.ts                                                        | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/error/index.ts                                                        | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/error/response-code.ts                                                | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/index.ts                                                              | TypeScript         |          2 |          6 |          2 |         10 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/package.json                                                          | JSON               |         30 |          0 |          1 |         31 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/responses/auth/index.ts                                               | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/responses/index.ts                                                    | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/responses/messages/auth/index.ts                                      | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/responses/messages/index.ts                                           | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/index.ts                                                  | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/jwt-payload.ts                                            | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/password/change.ts                                        | TypeScript         |          7 |          0 |          4 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/password/forgot.ts                                        | TypeScript         |          6 |          0 |          4 |         10 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/password/reset.ts                                         | TypeScript         |          7 |          0 |          4 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/user-auth/login.ts                                        | TypeScript         |         14 |          1 |          4 |         19 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/user-auth/signup.ts                                       | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/auth/verification.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/create.ts                                             | TypeScript         |          7 |          0 |          4 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/delete.ts                                             | TypeScript         |          6 |          0 |          4 |         10 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/document.ts                                           | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/get-document-data.ts                                  | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/index.ts                                              | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/document/update.ts                                             | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/index.ts                                                       | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/search/index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/search/search-result.ts                                        | TypeScript         |          7 |          0 |          4 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/search/search.ts                                               | TypeScript         |         12 |          0 |          4 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/shared/email.ts                                                | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/shared/id.ts                                                   | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/shared/index.ts                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/shared/password.ts                                             | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/shared/user-name.ts                                            | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/user-schema/delete.ts                                          | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/user-schema/index.ts                                           | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/user-schema/update.ts                                          | TypeScript         |          8 |          0 |          4 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/schema/user-schema/user.ts                                            | TypeScript         |         17 |          1 |          9 |         27 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/tsconfig.json                                                         | JSON with Comments |         11 |          0 |          1 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/utils.ts                                                              | TypeScript         |         17 |          0 |          5 |         22 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/validator/index.ts                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/validator/is-password-valid.ts                                        | TypeScript         |         18 |          3 |          5 |         26 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/lib/validator/types.ts                                                    | TypeScript         |          5 |          3 |          1 |          9 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/docker-compose.yml                                                 | YAML               |         15 |          0 |          3 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/index.ts                                                           | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231127204314_init/migration.sql                       | MS SQL             |         12 |          3 |          4 |         19 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231130195502_add_user_token/migration.sql             | MS SQL             |         11 |          3 |          4 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231202210039_add_verification_token/migration.sql     | MS SQL             |         11 |          3 |          4 |         18 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231203183236_token_add_account_model/migration.sql    | MS SQL             |         17 |         16 |         11 |         44 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231203202910_add_password_reset_request/migration.sql | MS SQL             |          8 |          1 |          2 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/packages/prisma/migrations/20231204181658_add_avatar_model/migration.sql           | MS SQL             |          8 |          4 |          4 |         16 |
